2021-06-24,14761,維淇藥師藥局,走路 戴口罩,True,23.759471,120.686338
2021-06-25,14761,福倫藥局竹山店,摩托車 戴口罩,True,23.758796,120.685704
2021-06-25,14761,優適藥局,摩托車 戴口罩,True,23.759975,120.685801
2021-07-07,彰化個案,COACH 台中新光三越男士專賣店,,True,24.164664,120.643224
2021-07-07,彰化個案,點點心台中新光三越中港店,,True,24.164664,120.643224
2021-07-07,彰化個案,瓦城台中三越店,,True,24.164664,120.643224
2021-07-07,彰化個案,COLD STONE台中新光三越（中新門市）,,True,24.164664,120.643224
2021-07-02,15340,7-11（市鑫門市）,,True,24.138509,120.680392
2021-07-03,15340,7-11（市鑫門市）,,True,24.138509,120.680392
2021-07-04,15340,7-11（市鑫門市）,,True,24.138509,120.680392
2021-07-05,15340,7-11（市鑫門市）,,True,24.138509,120.680392
2021-07-06,15340,7-11（市鑫門市）,,True,24.138509,120.680392
2021-07-07,15340,7-11（市鑫門市）,,True,24.138509,120.680392
2021-07-08,15340,7-11（市鑫門市）,,True,24.138509,120.680392
2021-07-09,15340,7-11（市鑫門市）,,True,24.138509,120.680392
2021-07-02,15340,萬波島嶼紅茶 Wanpo Tea Shop（民權店）,,True,24.137985,120.679634
2021-07-03,15340,萬波島嶼紅茶 Wanpo Tea Shop（民權店）,,True,24.137985,120.679634
2021-07-06,15340,萬波島嶼紅茶 Wanpo Tea Shop（民權店）,,True,24.137985,120.679634
2021-07-07,15340,萬波島嶼紅茶 Wanpo Tea Shop（民權店）,,True,24.137985,120.679634
2021-07-04,15340,光南大批發（臺中三民店）,,True,24.148631,120.683465
2021-07-04,15340,中友百貨,,True,24.152211,120.6847868
2021-07-04,15340,小米之家（台中店）,,True,24.148631,120.683465
2021-06-28,15341,7-11（宜昌門市）,,True,24.144837,120.714033
2021-06-28,15341,7-11（興中街門市）,,True,24.226664,120.803284
2021-06-29,15341,7-11（宜昌門市）,,True,24.144837,120.714033
2021-06-29,15341,7-11（興中街門市）,,True,24.226664,120.803284
2021-06-30,15341,7-11（宜昌門市）,,True,24.144837,120.714033
2021-06-30,15341,7-11（興中街門市）,,True,24.226664,120.803284
2021-07-01,15341,7-11（宜昌門市）,,True,24.144837,120.714033
2021-07-01,15341,7-11（興中街門市）,,True,24.226664,120.803284
2021-07-02,15341,7-11（宜昌門市）,,True,24.144837,120.714033
2021-07-02,15341,7-11（興中街門市）,,True,24.226664,120.803284
2021-07-03,15341,7-11（宜昌門市）,,True,24.144837,120.714033
2021-07-03,15341,7-11（興中街門市）,,True,24.226664,120.803284
2021-07-04,15341,7-11（宜昌門市）,,True,24.144837,120.714033
2021-07-04,15341,7-11（興中街門市）,,True,24.226664,120.803284
2021-07-05,15341,7-11（宜昌門市）,,True,24.144837,120.714033
2021-07-05,15341,7-11（興中街門市）,,True,24.226664,120.803284
